Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Lead Time
13,US-2021-167199-CHO-SCR-58000,2024-01-06,2026-07-03,3,167199,1,Henderson,17,42420,0,1,CHO-SCR-58000,12,14.4,4,10.0,4.4,909
14,US-2021-167199-CHO-FUD-51000,2024-01-06,2026-07-03,3,167199,1,Henderson,17,42420,0,1,CHO-FUD-51000,8,7.2,2,4.8,2.4,909
15,US-2021-105417-CHO-MIL-31000,2024-01-07,2026-07-05,3,105417,1,Huntsville,51,77340,0,2,CHO-MIL-31000,9,9.75,3,6.33,3.42,910
16,US-2021-105417-CHO-TRI-54000,2024-01-07,2026-07-05,3,105417,1,Huntsville,51,77340,0,2,CHO-TRI-54000,11,26.25,7,17.15,9.1,910
17,US-2021-135405-CHO-TRI-54000,2024-01-09,2026-07-06,3,135405,1,Laredo,51,78041,0,2,CHO-TRI-54000,11,7.5,2,4.9,2.6,909
18,US-2021-135405-CHO-TRI-54000,2024-01-09,2026-07-06,3,135405,1,Laredo,51,78041,0,2,CHO-TRI-54000,11,11.25,3,7.35,3.9,909
19,US-2021-149020-CHO-MIL-31000,2024-01-10,2026-07-08,3,149020,1,Springfield,54,22153,0,1,CHO-MIL-31000,9,3.25,1,2.11,1.14,910
20,US-2021-149020-OTH-GUM-21000,2024-01-10,2026-07-08,3,149020,1,Springfield,54,22153,1,1,OTH-GUM-21000,13,1.25,1,0.65,0.6,910
21,US-2021-130092-CHO-MIL-31000,2024-01-11,2026-07-07,0,130092,1,Dover,8,19901,0,0,CHO-MIL-31000,9,6.5,2,4.22,2.28,908
22,US-2021-157147-CHO-MIL-31000,2024-01-13,2026-07-11,3,157147,1,San Francisco,5,94109,0,3,CHO-MIL-31000,9,9.75,3,6.33,3.42,910
23,US-2021-109232-CHO-NUT-13000,2024-01-13,2026-07-09,2,109232,1,Mount Pleasant,48,29464,0,1,CHO-NUT-13000,10,20.94,6,14.94,6.0,908
24,US-2021-157147-CHO-MIL-31000,2024-01-13,2026-07-11,3,157147,1,San Francisco,5,94109,0,3,CHO-MIL-31000,9,16.25,5,10.55,5.7,910
25,US-2021-118192-CHO-SCR-58000,2024-01-13,2026-07-11,3,118192,1,Newark,39,43055,0,0,CHO-SCR-58000,12,7.2,2,5.0,2.2,910
26,US-2021-162775-CHO-TRI-54000,2024-01-13,2026-07-08,2,162775,1,Bossier City,18,71111,0,1,CHO-TRI-54000,11,11.25,3,7.35,3.9,907
27,US-2021-162775-OTH-KAZ-38000,2024-01-13,2026-07-08,2,162775,1,Bossier City,18,71111,1,1,OTH-KAZ-38000,3,9.75,3,0.75,9.0,907
28,US-2021-162775-CHO-MIL-31000,2024-01-13,2026-07-08,2,162775,1,Bossier City,18,71111,0,1,CHO-MIL-31000,9,6.5,2,4.22,2.28,907
29,US-2021-118192-CHO-SCR-58000,2024-01-13,2026-07-11,3,118192,1,Newark,39,43055,0,0,CHO-SCR-58000,12,25.2,7,17.5,7.7,910
30,US-2021-162775-CHO-MIL-31000,2024-01-13,2026-07-08,2,162775,1,Bossier City,18,71111,0,1,CHO-MIL-31000,9,19.5,6,12.66,6.84,907
31,US-2021-157147-CHO-NUT-13000,2024-01-13,2026-07-11,3,157147,1,San Francisco,5,94109,0,3,CHO-NUT-13000,10,17.45,5,12.45,5.0,910
32,US-2021-162775-CHO-SCR-58000,2024-01-13,2026-07-08,2,162775,1,Bossier City,18,71111,0,1,CHO-SCR-58000,12,21.6,6,15.0,6.6,907
33,US-2021-149524-OTH-GUM-21000,2024-01-14,2026-07-08,0,149524,1,Philadelphia,43,19140,1,0,OTH-GUM-21000,13,5.0,4,2.6,2.4,906
34,US-2021-103366-CHO-SCR-58000,2024-01-15,2026-07-10,0,103366,1,Roswell,11,30076,0,1,CHO-SCR-58000,12,18.0,5,12.5,5.5,907
35,US-2021-115791-CHO-TRI-54000,2024-01-16,2026-07-11,2,115791,1,Philadelphia,43,19134,0,0,CHO-TRI-54000,11,22.5,6,14.7,7.8,907
36,US-2021-115791-CHO-FUD-51000,2024-01-16,2026-07-11,2,115791,1,Philadelphia,43,19134,0,0,CHO-FUD-51000,8,7.2,2,4.8,2.4,907
37,US-2021-115791-CHO-TRI-54000,2024-01-16,2026-07-11,2,115791,1,Philadelphia,43,19134,0,0,CHO-TRI-54000,11,11.25,3,7.35,3.9,907
38,US-2021-115791-CHO-SCR-58000,2024-01-16,2026-07-11,2,115791,1,Philadelphia,43,19134,0,0,CHO-SCR-58000,12,10.8,3,7.5,3.3,907
39,US-2021-123477-CHO-NUT-13000,2024-01-18,2026-07-14,2,123477,1,Springfield,42,97477,0,3,CHO-NUT-13000,10,13.96,4,9.96,4.0,908
40,US-2021-146591-CHO-TRI-54000,2024-01-19,2026-07-13,0,146591,1,Scottsdale,2,85254,0,3,CHO-TRI-54000,11,18.75,5,12.25,6.5,906
42,US-2021-146591-CHO-TRI-54000,2024-01-19,2026-07-13,0,146591,1,Scottsdale,2,85254,0,3,CHO-TRI-54000,11,18.75,5,12.25,6.5,906
43,US-2021-146591-CHO-FUD-51000,2024-01-19,2026-07-13,0,146591,1,Scottsdale,2,85254,0,3,CHO-FUD-51000,8,14.4,4,9.6,4.8,906
44,US-2021-147627-CHO-TRI-54000,2024-01-20,2026-07-19,3,147627,1,Jonesboro,3,72401,0,1,CHO-TRI-54000,11,11.25,3,7.35,3.9,911
45,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,3,167927,1,Westland,23,48185,0,2,CHO-FUD-51000,8,10.8,3,7.2,3.6,911
46,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,3,167927,1,Westland,23,48185,0,2,CHO-FUD-51000,8,10.8,3,7.2,3.6,911
47,US-2021-147627-CHO-MIL-31000,2024-01-20,2026-07-19,3,147627,1,Jonesboro,3,72401,0,1,CHO-MIL-31000,9,13.0,4,8.44,4.56,911
48,US-2021-148614-CHO-MIL-31000,2024-01-20,2026-07-18,3,148614,1,Los Angeles,5,90049,0,3,CHO-MIL-31000,9,6.5,2,4.22,2.28,910
49,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,3,167927,1,Westland,23,48185,0,2,CHO-FUD-51000,8,14.4,4,9.6,4.8,911
50,US-2021-147627-CHO-TRI-54000,2024-01-20,2026-07-19,3,147627,1,Jonesboro,3,72401,0,1,CHO-TRI-54000,11,26.25,7,17.15,9.1,911
51,US-2021-147627-CHO-SCR-58000,2024-01-20,2026-07-19,3,147627,1,Jonesboro,3,72401,0,1,CHO-SCR-58000,12,10.8,3,7.5,3.3,911
52,US-2021-167927-CHO-NUT-13000,2024-01-20,2026-07-19,3,167927,1,Westland,23,48185,0,2,CHO-NUT-13000,10,10.47,3,7.47,3.0,911
53,US-2021-167927-CHO-MIL-31000,2024-01-20,2026-07-19,3,167927,1,Westland,23,48185,0,2,CHO-MIL-31000,9,16.25,5,10.55,5.7,911
54,US-2021-147774-CHO-NUT-13000,2024-01-20,2026-07-19,3,147774,1,Smyrna,50,37167,0,1,CHO-NUT-13000,10,3.49,1,2.49,1.0,911
55,US-2021-167927-CHO-TRI-54000,2024-01-20,2026-07-19,3,167927,1,Westland,23,48185,0,2,CHO-TRI-54000,11,18.75,5,12.25,6.5,911
56,US-2021-147627-CHO-FUD-51000,2024-01-20,2026-07-19,3,147627,1,Jonesboro,3,72401,0,1,CHO-FUD-51000,8,10.8,3,7.2,3.6,911
57,US-2021-148614-CHO-SCR-58000,2024-01-20,2026-07-18,3,148614,1,Los Angeles,5,90049,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,910
58,US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,3,167927,1,Westland,23,48185,0,2,CHO-FUD-51000,8,3.6,1,2.4,1.2,911
59,US-2021-167927-CHO-MIL-31000,2024-01-20,2026-07-19,3,167927,1,Westland,23,48185,0,2,CHO-MIL-31000,9,6.5,2,4.22,2.28,911
60,US-2021-147627-CHO-FUD-51000,2024-01-20,2026-07-19,3,147627,1,Jonesboro,3,72401,0,1,CHO-FUD-51000,8,25.2,7,16.8,8.4,911
61,US-2021-110422-CHO-TRI-54000,2024-01-21,2026-07-16,2,110422,1,Miami,10,33180,0,1,CHO-TRI-54000,11,11.25,3,7.35,3.9,907
62,CA-2021-115238-CHO-FUD-51000,2024-01-21,2026-07-17,3,115238,0,Toronto,41,M7A,0,0,CHO-FUD-51000,8,18.0,5,12.0,6.0,908
63,CA-2021-115238-CHO-MIL-31000,2024-01-21,2026-07-17,3,115238,0,Toronto,41,M7A,0,0,CHO-MIL-31000,9,3.25,1,2.11,1.14,908
64,CA-2021-115238-CHO-TRI-54000,2024-01-21,2026-07-17,3,115238,0,Toronto,41,M7A,0,0,CHO-TRI-54000,11,18.75,5,12.25,6.5,908
65,CA-2021-115238-CHO-FUD-51000,2024-01-21,2026-07-17,3,115238,0,Toronto,41,M7A,0,0,CHO-FUD-51000,8,3.6,1,2.4,1.2,908
67,US-2021-146997-CHO-TRI-54000,2024-01-23,2026-07-20,3,146997,1,Lafayette,14,47905,0,2,CHO-TRI-54000,11,11.25,3,7.35,3.9,909
68,US-2021-102645-CHO-FUD-51000,2024-01-23,2026-07-21,3,102645,1,Las Vegas,29,89115,0,3,CHO-FUD-51000,8,21.6,6,14.4,7.2,910
69,US-2021-167997-CHO-TRI-54000,2024-01-26,2026-07-22,0,167997,1,Rapid City,49,57701,0,2,CHO-TRI-54000,11,7.5,2,4.9,2.6,908
70,US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,3,155502,1,Alexandria,54,22304,0,1,CHO-MIL-31000,9,9.75,3,6.33,3.42,910
71,US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,3,155502,1,Alexandria,54,22304,0,1,CHO-MIL-31000,9,9.75,3,6.33,3.42,910
72,US-2021-167997-CHO-TRI-54000,2024-01-26,2026-07-22,0,167997,1,Rapid City,49,57701,0,2,CHO-TRI-54000,11,7.5,2,4.9,2.6,908
73,US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,3,155502,1,Alexandria,54,22304,0,1,CHO-MIL-31000,9,6.5,2,4.22,2.28,910
74,US-2021-155502-CHO-TRI-54000,2024-01-26,2026-07-24,3,155502,1,Alexandria,54,22304,0,1,CHO-TRI-54000,11,11.25,3,7.35,3.9,910
75,US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,3,155502,1,Alexandria,54,22304,0,1,CHO-MIL-31000,9,26.0,8,16.88,9.12,910
76,US-2021-155502-CHO-FUD-51000,2024-01-26,2026-07-24,3,155502,1,Alexandria,54,22304,0,1,CHO-FUD-51000,8,7.2,2,4.8,2.4,910
78,US-2021-117163-CHO-NUT-13000,2024-01-27,2026-07-26,3,117163,1,San Diego,5,92037,0,3,CHO-NUT-13000,10,10.47,3,7.47,3.0,911
79,US-2021-117163-CHO-TRI-54000,2024-01-27,2026-07-26,3,117163,1,San Diego,5,92037,0,3,CHO-TRI-54000,11,15.0,4,9.8,5.2,911
80,US-2021-117163-CHO-SCR-58000,2024-01-27,2026-07-26,3,117163,1,San Diego,5,92037,0,3,CHO-SCR-58000,12,3.6,1,2.5,1.1,911
81,US-2021-100328-CHO-MIL-31000,2024-01-28,2026-07-27,3,100328,1,New York City,34,10024,0,0,CHO-MIL-31000,9,3.25,1,2.11,1.14,911
82,US-2021-134103-CHO-NUT-13000,2024-01-30,2026-07-28,3,134103,1,Detroit,23,48234,0,2,CHO-NUT-13000,10,6.98,2,4.98,2.0,910
83,US-2021-134103-CHO-NUT-13000,2024-01-30,2026-07-28,3,134103,1,Detroit,23,48234,0,2,CHO-NUT-13000,10,6.98,2,4.98,2.0,910
84,US-2021-115161-CHO-MIL-31000,2024-01-31,2026-07-26,0,115161,1,Mission Viejo,5,92691,0,3,CHO-MIL-31000,9,6.5,2,4.22,2.28,907
85,US-2021-140795-CHO-SCR-58000,2024-02-01,2026-07-27,0,140795,1,Green Bay,57,54302,0,2,CHO-SCR-58000,12,21.6,6,15.0,6.6,907
86,US-2021-123400-CHO-MIL-31000,2024-02-02,2026-08-02,3,123400,1,Saint Petersburg,10,33710,0,1,CHO-MIL-31000,9,6.5,2,4.22,2.28,912
87,US-2021-139857-CHO-FUD-51000,2024-02-02,2026-07-30,3,139857,1,San Diego,5,92037,0,3,CHO-FUD-51000,8,18.0,5,12.0,6.0,909
88,US-2021-123400-CHO-TRI-54000,2024-02-02,2026-08-02,3,123400,1,Saint Petersburg,10,33710,0,1,CHO-TRI-54000,11,18.75,5,12.25,6.5,912
89,US-2021-111059-CHO-NUT-13000,2024-02-03,2026-07-30,2,111059,1,Seattle,55,98105,0,3,CHO-NUT-13000,10,10.47,3,7.47,3.0,908
90,US-2021-111059-CHO-SCR-58000,2024-02-03,2026-07-30,2,111059,1,Seattle,55,98105,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,908
91,US-2021-104808-CHO-FUD-51000,2024-02-04,2026-08-01,2,104808,1,Escondido,5,92025,0,3,CHO-FUD-51000,8,7.2,2,4.8,2.4,909
92,US-2021-107181-CHO-TRI-54000,2024-02-04,2026-08-01,3,107181,1,San Diego,5,92024,0,3,CHO-TRI-54000,11,11.25,3,7.35,3.9,909
94,US-2021-108182-CHO-NUT-13000,2024-02-06,2026-08-03,2,108182,1,Romeoville,13,60441,0,2,CHO-NUT-13000,10,6.98,2,4.98,2.0,909
95,US-2021-131905-CHO-TRI-54000,2024-02-06,2026-08-02,0,131905,1,Chesapeake,54,23320,0,1,CHO-TRI-54000,11,15.0,4,9.8,5.2,908
96,US-2021-131905-CHO-NUT-13000,2024-02-06,2026-08-02,0,131905,1,Chesapeake,54,23320,0,1,CHO-NUT-13000,10,17.45,5,12.45,5.0,908
97,US-2021-131905-CHO-MIL-31000,2024-02-06,2026-08-02,0,131905,1,Chesapeake,54,23320,0,1,CHO-MIL-31000,9,3.25,1,2.11,1.14,908
98,US-2021-169390-CHO-MIL-31000,2024-02-07,2026-08-03,2,169390,1,New York City,34,10024,0,0,CHO-MIL-31000,9,13.0,4,8.44,4.56,908
99,US-2021-107755-CHO-FUD-51000,2024-02-07,2026-08-05,3,107755,1,Linden,32,7036,0,0,CHO-FUD-51000,8,25.2,7,16.8,8.4,910
100,US-2021-125759-OTH-GUM-21000,2024-02-08,2026-08-02,0,125759,1,North Las Vegas,29,89031,1,3,OTH-GUM-21000,13,2.5,2,1.3,1.2,906
101,US-2021-168368-CHO-TRI-54000,2024-02-11,2026-08-08,2,168368,1,Columbia,26,65203,0,2,CHO-TRI-54000,11,3.75,1,2.45,1.3,909
102,US-2021-168368-CHO-TRI-54000,2024-02-11,2026-08-08,2,168368,1,Columbia,26,65203,0,2,CHO-TRI-54000,11,11.25,3,7.35,3.9,909
103,US-2021-127614-CHO-MIL-31000,2024-02-11,2026-08-08,3,127614,1,Chesapeake,54,23320,0,1,CHO-MIL-31000,9,19.5,6,12.66,6.84,909
104,US-2021-127614-CHO-MIL-31000,2024-02-11,2026-08-08,3,127614,1,Chesapeake,54,23320,0,1,CHO-MIL-31000,9,6.5,2,4.22,2.28,909
105,US-2021-168368-CHO-NUT-13000,2024-02-11,2026-08-08,2,168368,1,Columbia,26,65203,0,2,CHO-NUT-13000,10,10.47,3,7.47,3.0,909
106,US-2021-168368-CHO-SCR-58000,2024-02-11,2026-08-08,2,168368,1,Columbia,26,65203,0,2,CHO-SCR-58000,12,7.2,2,5.0,2.2,909
107,US-2021-168368-CHO-SCR-58000,2024-02-11,2026-08-08,2,168368,1,Columbia,26,65203,0,2,CHO-SCR-58000,12,10.8,3,7.5,3.3,909
108,US-2021-168368-CHO-TRI-54000,2024-02-11,2026-08-08,2,168368,1,Columbia,26,65203,0,2,CHO-TRI-54000,11,7.5,2,4.9,2.6,909
109,US-2021-127614-CHO-SCR-58000,2024-02-11,2026-08-08,3,127614,1,Chesapeake,54,23320,0,1,CHO-SCR-58000,12,10.8,3,7.5,3.3,909
110,US-2021-110674-CHO-SCR-58000,2024-02-12,2026-08-11,3,110674,1,Concord,5,94521,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,911
111,US-2021-121762-CHO-FUD-51000,2024-02-14,2026-08-11,3,121762,1,Seattle,55,98103,0,3,CHO-FUD-51000,8,7.2,2,4.8,2.4,909
112,US-2021-107706-CHO-MIL-31000,2024-02-14,2026-08-12,2,107706,1,Houston,51,77095,0,2,CHO-MIL-31000,9,9.75,3,6.33,3.42,910
113,US-2021-121762-CHO-SCR-58000,2024-02-14,2026-08-11,3,121762,1,Seattle,55,98103,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,909
114,US-2021-121762-CHO-SCR-58000,2024-02-14,2026-08-11,3,121762,1,Seattle,55,98103,0,3,CHO-SCR-58000,12,10.8,3,7.5,3.3,909
115,US-2021-165568-CHO-SCR-58000,2024-02-15,2026-08-12,3,165568,1,Seattle,55,98105,0,3,CHO-SCR-58000,12,18.0,5,12.5,5.5,909
116,US-2021-122567-CHO-FUD-51000,2024-02-16,2026-08-14,3,122567,1,Dallas,51,75220,0,2,CHO-FUD-51000,8,7.2,2,4.8,2.4,910
117,US-2021-122567-CHO-TRI-54000,2024-02-16,2026-08-14,3,122567,1,Dallas,51,75220,0,2,CHO-TRI-54000,11,11.25,3,7.35,3.9,910
119,US-2021-165589-CHO-TRI-54000,2024-02-18,2026-08-11,1,165589,1,Lubbock,51,79424,0,2,CHO-TRI-54000,11,18.75,5,12.25,6.5,905
120,US-2021-152905-CHO-FUD-51000,2024-02-18,2026-08-17,3,152905,1,Arlington,51,76017,0,2,CHO-FUD-51000,8,7.2,2,4.8,2.4,911
121,US-2021-109491-CHO-MIL-31000,2024-02-20,2026-08-19,3,109491,1,Richmond,14,47374,0,2,CHO-MIL-31000,9,13.0,4,8.44,4.56,911
122,US-2021-164903-CHO-SCR-58000,2024-02-20,2026-08-17,3,164903,1,Los Angeles,5,90049,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,909
123,US-2021-109491-CHO-MIL-31000,2024-02-20,2026-08-19,3,109491,1,Richmond,14,47374,0,2,CHO-MIL-31000,9,9.75,3,6.33,3.42,911
124,US-2021-165540-CHO-TRI-54000,2024-02-21,2026-08-18,3,165540,1,Woodstock,13,60098,0,2,CHO-TRI-54000,11,18.75,5,12.25,6.5,909
125,US-2021-133354-CHO-NUT-13000,2024-02-22,2026-08-17,0,133354,1,Moreno Valley,5,92553,0,3,CHO-NUT-13000,10,10.47,3,7.47,3.0,907
126,US-2021-103744-CHO-SCR-58000,2024-02-23,2026-08-20,3,103744,1,El Paso,51,79907,0,2,CHO-SCR-58000,12,10.8,3,7.5,3.3,909
127,US-2021-103744-OTH-GUM-21000,2024-02-23,2026-08-20,3,103744,1,El Paso,51,79907,1,2,OTH-GUM-21000,13,3.75,3,1.95,1.8,909
128,US-2021-137680-CHO-FUD-51000,2024-02-24,2026-08-23,3,137680,1,Medford,42,97504,0,3,CHO-FUD-51000,8,10.8,3,7.2,3.6,911
129,US-2021-137680-CHO-MIL-31000,2024-02-24,2026-08-23,3,137680,1,Medford,42,97504,0,3,CHO-MIL-31000,9,13.0,4,8.44,4.56,911
130,US-2021-156545-CHO-FUD-51000,2024-02-27,2026-08-24,0,156545,1,Columbus,39,43229,0,0,CHO-FUD-51000,8,14.4,4,9.6,4.8,909
131,US-2021-113880-CHO-NUT-13000,2024-03-01,2026-08-26,3,113880,1,Elmhurst,13,60126,0,2,CHO-NUT-13000,10,20.94,6,14.94,6.0,908
132,US-2021-131009-CHO-SCR-58000,2024-03-01,2026-08-26,3,131009,1,El Paso,51,79907,0,2,CHO-SCR-58000,12,21.6,6,15.0,6.6,908
133,US-2021-104269-CHO-SCR-58000,2024-03-01,2026-08-27,2,104269,1,Seattle,55,98115,0,3,CHO-SCR-58000,12,7.2,2,5.0,2.2,909
134,US-2021-131009-CHO-TRI-54000,2024-03-01,2026-08-26,3,131009,1,El Paso,51,79907,0,2,CHO-TRI-54000,11,22.5,6,14.7,7.8,908
135,US-2021-168312-CHO-SCR-58000,2024-03-01,2026-08-28,3,168312,1,Houston,51,77036,0,2,CHO-SCR-58000,12,10.8,3,7.5,3.3,910
136,US-2021-131009-CHO-FUD-51000,2024-03-01,2026-08-26,3,131009,1,El Paso,51,79907,0,2,CHO-FUD-51000,8,18.0,5,12.0,6.0,908
138,US-2021-131009-CHO-TRI-54000,2024-03-01,2026-08-26,3,131009,1,El Paso,51,79907,0,2,CHO-TRI-54000,11,11.25,3,7.35,3.9,908
139,US-2021-168312-CHO-SCR-58000,2024-03-01,2026-08-28,3,168312,1,Houston,51,77036,0,2,CHO-SCR-58000,12,10.8,3,7.5,3.3,910
140,US-2021-143707-CHO-SCR-58000,2024-03-01,2026-08-26,3,143707,1,New York City,34,10035,0,0,CHO-SCR-58000,12,10.8,3,7.5,3.3,908
141,US-2021-107524-CHO-MIL-31000,2024-03-02,2026-08-29,3,107524,1,New York City,34,10009,0,0,CHO-MIL-31000,9,6.5,2,4.22,2.28,910
142,US-2021-111157-CHO-TRI-54000,2024-03-02,2026-08-27,3,111157,1,Philadelphia,43,19120,0,0,CHO-TRI-54000,11,3.75,1,2.45,1.3,908
143,US-2021-107524-CHO-NUT-13000,2024-03-02,2026-08-29,3,107524,1,New York City,34,10009,0,0,CHO-NUT-13000,10,17.45,5,12.45,5.0,910
144,US-2021-111157-CHO-MIL-31000,2024-03-02,2026-08-27,3,111157,1,Philadelphia,43,19120,0,0,CHO-MIL-31000,9,9.75,3,6.33,3.42,908
145,US-2021-127978-CHO-TRI-54000,2024-03-03,2026-08-29,3,127978,1,Columbus,39,43229,0,0,CHO-TRI-54000,11,18.75,5,12.25,6.5,909
146,US-2021-105648-CHO-MIL-31000,2024-03-03,2026-08-28,3,105648,1,San Diego,5,92037,0,3,CHO-MIL-31000,9,9.75,3,6.33,3.42,908
147,US-2021-130421-CHO-NUT-13000,2024-03-03,2026-08-28,3,130421,1,Houston,51,77095,0,2,CHO-NUT-13000,10,10.47,3,7.47,3.0,908
148,US-2021-155852-CHO-FUD-51000,2024-03-03,2026-08-28,2,155852,1,Wilmington,36,28403,0,1,CHO-FUD-51000,8,14.4,4,9.6,4.8,908
149,US-2021-127964-CHO-SCR-58000,2024-03-03,2026-08-29,3,127964,1,New York City,34,10035,0,0,CHO-SCR-58000,12,18.0,5,12.5,5.5,909
150,US-2021-127964-CHO-SCR-58000,2024-03-03,2026-08-29,3,127964,1,New York City,34,10035,0,0,CHO-SCR-58000,12,10.8,3,7.5,3.3,909
151,US-2021-127978-CHO-SCR-58000,2024-03-03,2026-08-29,3,127978,1,Columbus,39,43229,0,0,CHO-SCR-58000,12,10.8,3,7.5,3.3,909
152,US-2021-127978-CHO-NUT-13000,2024-03-03,2026-08-29,3,127978,1,Columbus,39,43229,0,0,CHO-NUT-13000,10,27.92,8,19.92,8.0,909
153,US-2021-127964-CHO-MIL-31000,2024-03-03,2026-08-29,3,127964,1,New York City,34,10035,0,0,CHO-MIL-31000,9,3.25,1,2.11,1.14,909
154,US-2021-117016-CHO-NUT-13000,2024-03-04,2026-08-30,3,117016,1,Margate,10,33063,0,1,CHO-NUT-13000,10,10.47,3,7.47,3.0,909
155,US-2021-116239-CHO-FUD-51000,2024-03-04,2026-08-25,1,116239,1,Columbia,48,29203,0,1,CHO-FUD-51000,8,18.0,5,12.0,6.0,904
156,US-2021-169061-CHO-TRI-54000,2024-03-05,2026-08-29,2,169061,1,Yonkers,34,10701,0,0,CHO-TRI-54000,11,11.25,3,7.35,3.9,907
157,US-2021-169061-CHO-NUT-13000,2024-03-05,2026-08-29,2,169061,1,Yonkers,34,10701,0,0,CHO-NUT-13000,10,20.94,6,14.94,6.0,907
158,US-2021-169061-CHO-TRI-54000,2024-03-05,2026-08-29,2,169061,1,Yonkers,34,10701,0,0,CHO-TRI-54000,11,7.5,2,4.9,2.6,907
159,US-2021-169061-CHO-NUT-13000,2024-03-05,2026-08-29,2,169061,1,Yonkers,34,10701,0,0,CHO-NUT-13000,10,6.98,2,4.98,2.0,907
160,US-2021-169061-CHO-TRI-54000,2024-03-05,2026-08-29,2,169061,1,Yonkers,34,10701,0,0,CHO-TRI-54000,11,11.25,3,7.35,3.9,907
162,US-2021-156587-CHO-NUT-13000,2024-03-07,2026-08-29,0,156587,1,Seattle,55,98103,0,3,CHO-NUT-13000,10,3.49,1,2.49,1.0,905
163,US-2021-104563-CHO-NUT-13000,2024-03-07,2026-09-02,3,104563,1,Seattle,55,98103,0,3,CHO-NUT-13000,10,6.98,2,4.98,2.0,909
164,US-2021-104563-CHO-SCR-58000,2024-03-07,2026-09-02,3,104563,1,Seattle,55,98103,0,3,CHO-SCR-58000,12,18.0,5,12.5,5.5,909
165,US-2021-156587-CHO-FUD-51000,2024-03-07,2026-08-29,0,156587,1,Seattle,55,98103,0,3,CHO-FUD-51000,8,10.8,3,7.2,3.6,905
166,US-2021-131982-CHO-FUD-51000,2024-03-07,2026-09-01,2,131982,1,Des Moines,55,98198,0,3,CHO-FUD-51000,8,7.2,2,4.8,2.4,908
167,US-2021-104563-CHO-FUD-51000,2024-03-07,2026-09-02,3,104563,1,Seattle,55,98103,0,3,CHO-FUD-51000,8,18.0,5,12.0,6.0,909
168,US-2021-156587-CHO-FUD-51000,2024-03-07,2026-08-29,0,156587,1,Seattle,55,98103,0,3,CHO-FUD-51000,8,10.8,3,7.2,3.6,905
